OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID,"Location (Lat, Long)"
433,BK,Free,BPL,Ulmer Park - Brooklyn Public Library,2602 BATH AVENUE,40.5926531297,-73.9886820957,987393.290946,155196.131259,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.59265312970, -73.98868209570)"
434,QU,Free,QPL,Hollis,202-05 HILLSIDE AVENUE,40.7201684296,-73.7623041123,1050138.49288,201742.701879,Library,,Hollis,QBPL_WIRELESS,0,"Hollis
(40.72016842960, -73.76230411230)"
435,BK,Free,BPL,Flatlands - Brooklyn Public Library,2065 FLATBUSH AVENUE,40.6197681963,-73.9332132562,1002790.96816,165081.715818,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.61976819630, -73.93321325620)"
436,BK,Free,BPL,Kensington - Brooklyn Public Library,410 DITMAS AVENUE,40.6356942225,-73.9745947088,991301.194875,170877.946024,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.63569422250, -73.97459470880)"
437,SI,Free,NYPL,Todt Hill-Westerleigh,2550 VICTORY BOULEVARD,40.6095774994,-74.1485024503,943017.288819,161396.860983,Library,,Staten Island,NYPL,0,"Staten Island
(40.60957749940, -74.14850245030)"
438,QU,Free,QPL,North Hills,57-04 MARATHON PARKWAY,40.7592451348,-73.7318266816,1058543.12306,216003.911218,Library,,Little Neck,QBPL_WIRELESS,0,"Little Neck
(40.75924513480, -73.73182668160)"
439,QU,Free,QPL,Baisley Park,117-11 SUTPHIN BOULEVARD,40.6803113116,-73.7916786111,1042030.53174,187200.879257,Library,,Jamaica,QBPL_WIRELESS,0,"Jamaica
(40.68031131160, -73.79167861110)"
440,QU,Free,QPL,Glendale,78-60 73 PLACE,40.7025766648,-73.8757971089,1018687.73787,195268.509119,Library,,Glendale,QBPL_WIRELESS,0,"Glendale
(40.70257666480, -73.87579710890)"
441,BX,Free,NYPL,Sedgwick,1701 MARTIN LUTHER KING JR BOULEVARD,40.8494940806,-73.9175775272,1007052.91993,248781.790216,Library,,Bronx,NYPL,0,"Bronx
(40.84949408060, -73.91757752720)"
442,BK,Free,BPL,Williamsburgh - Brooklyn Public Library,240 DIVISION AVENUE,40.7069304247,-73.9575546134,996018.067987,196833.151003,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.70693042470, -73.95755461340)"
443,BK,Free,BPL,Kings Highway - Brooklyn Public Library,2115 OCEAN AVENUE,40.6102566673,-73.9531058487,997270.3519,161612.833977,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.61025666730, -73.95310584870)"
444,MN,Free,NYPL,Harlem,9 WEST 124 STREET,40.8061604421,-73.9433155984,999942.468275,232988.107892,Library,,New York,NYPL,0,"New York
(40.80616044210, -73.94331559840)"
445,BX,Free,NYPL,High Bridge,78 WEST 168 STREET,40.8379589117,-73.9235396129,1005407.12401,244577.600133,Library,,Bronx,NYPL,0,"Bronx
(40.83795891170, -73.92353961290)"
446,QU,Free,QPL,Lefferts,103-34 LEFFERTS BOULEVARD,40.6869072882,-73.8248296985,1032830.87264,189583.852838,Library,,Richmond Hill,QBPL_WIRELESS,0,"Richmond Hill
(40.68690728820, -73.82482969850)"
447,BK,Free,BPL,Park Slope - Brooklyn Public Library,431 6 AVENUE,40.6682166933,-73.9834274329,988847.445846,182726.192996,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.66821669330, -73.98342743290)"
448,BX,Free,NYPL,Clason's Point,1215 MORRISON AVENUE,40.8299928753,-73.8750206002,1018836.80778,241690.718112,Library,,Bronx,NYPL,0,"Bronx
(40.82999287530, -73.87502060020)"
449,QU,Free,QPL,"Ravenswood, Now a Family Literacy Center",35-32 21 STREET,40.7606431176,-73.9364719875,1001849.07503,216405.901884,Library,,Long Island City,QBPL_WIRELESS,0,"Long Island City
(40.76064311760, -73.93647198750)"
450,QU,Free,QPL,Woodside,54-22 SKILLMAN AVENUE,40.745341713,-73.9097937387,1009245.45098,210837.593138,Library,,Woodside,QBPL_WIRELESS,0,"Woodside
(40.74534171300, -73.90979373870)"
451,QU,Free,QPL,Hillcrest,187-05 UNION TURNPIKE,40.7292529463,-73.7819089166,1044695.8791,205038.323897,Library,,Flushing,QBPL_WIRELESS,0,"Flushing
(40.72925294630, -73.78190891660)"
452,BK,Free,BPL,Bushwick - Brooklyn Public Library,340 BUSHWICK AVENUE,40.7045590639,-73.9396184214,1000991.50784,195972.112043,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.70455906390, -73.93961842140)"
453,BX,Free,NYPL,Woodstock,761 EAST 160 STREET,40.8206415647,-73.9046288601,1010646.72902,238273.390957,Library,,Bronx,NYPL,0,"Bronx
(40.82064156470, -73.90462886010)"
454,QU,Free,QPL,Howard Beach,92-06 156 AVENUE,40.6638044606,-73.8417968638,1028140.48898,181157.891015,Library,,Howard Beach,QBPL_WIRELESS,0,"Howard Beach
(40.66380446060, -73.84179686380)"
455,MN,Free,NYPL,Science Industry And Business,188 MADISON AVENUE,40.7481246964,-73.9830630999,988942.887584,211839.106883,Library,,New York,NYPL,0,"New York
(40.74812469640, -73.98306309990)"
456,MN,Free,NYPL,Roosevelt Island,524 MAIN STREET,40.7612533724,-73.9501658898,998055.346721,216625.783006,Library,,New York,NYPL,0,"New York
(40.76125337240, -73.95016588980)"
457,BX,Free,NYPL,Castle Hill,947 CASTLE HILL AVENUE,40.8266092254,-73.8501814579,1025712.89606,240468.714322,Library,,Bronx,NYPL,0,"Bronx
(40.82660922540, -73.85018145790)"
458,BK,Free,BPL,Bedford - Brooklyn Public Library,496 FRANKLIN AVENUE,40.6818101974,-73.9561085144,996423.587518,187681.310383,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.68181019740, -73.95610851440)"
459,BX,Free,NYPL,Throg's Neck,3025 CROSS BRONX EXPRESSWAY,40.8229035714,-73.8190936365,1034319.35523,239134.854129,Library,,Bronx,NYPL,0,"Bronx
(40.82290357140, -73.81909363650)"
460,QU,Free,QPL,Rochdale Village,169-09 137 AVENUE,40.6728752044,-73.7705902161,1047886.74312,184506.315749,Library,,Jamaica,QBPL_WIRELESS,0,"Jamaica
(40.67287520440, -73.77059021610)"
461,QU,Free,QPL,Ridgewood,20-12 MADISON STREET,40.7051723129,-73.902572375,1011262.71105,196204.789071,Library,,Ridgewood,QBPL_WIRELESS,0,"Ridgewood
(40.70517231290, -73.90257237500)"
462,QU,Free,QPL,Far Rockaway,1637 CENTRAL AVENUE,40.604772113,-73.7520918927,1053088.26093,159708.593034,Library,,Far Rockaway,QBPL_WIRELESS,0,"Far Rockaway
(40.60477211300, -73.75209189270)"
463,BK,Free,BPL,Leonard - Brooklyn Public Library,81 DEVOE STREET,40.713644888,-73.9479357128,998683.47309,199280.871173,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.71364488800, -73.94793571280)"
464,QU,Free,QPL,South Jamaica,108-41 GUY R BREWER BOULEVARD,40.6955401466,-73.7902273917,1042419.75799,192750.132922,Library,,Jamaica,QBPL_WIRELESS,0,"Jamaica
(40.69554014660, -73.79022739170)"
465,BK,Free,BPL,Ryder - Brooklyn Public Library,5902 23 AVENUE,40.6159160785,-73.9760404894,990901.891868,163672.129727,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.61591607850, -73.97604048940)"
466,BK,Free,BPL,Fort Hamilton - Brooklyn Public Library,9424 FOURTH AVENUE,40.6163731106,-74.0313694054,975540.954742,163839.288185,Library,,Brooklyn,BPLUNWIRED,0,"Brooklyn
(40.61637311060, -74.03136940540)"
467,BX,Free,NYPL,Belmont Library-Enrico Fermi Cultural Center,610 EAST 186 STREET,40.8543469054,-73.8878894289,1015264.13317,250558.977934,Library,,Bronx,NYPL,0,"Bronx
(40.85434690540, -73.88788942890)"
468,QU,Free,QPL,Broad Channel,16-26 CROSS BAY BOULEVARD,40.6007321052,-73.8200526582,1034220.20713,158190.630847,Library,,Broad Channel,QBPL_WIRELESS,0,"Broad Channel
(40.60073210520, -73.82005265820)"
469,SI,Free,NYPL,Richmondtown,200 CLARKE AVENUE,40.5665301462,-74.1385338765,945760.325655,145709.109879,Library,,Staten Island,NYPL,0,"Staten Island
(40.56653014620, -74.13853387650)"
